ID;Fecha Modificacion;Fecha Descarga;Id_Departamento;Cod_Departamento;Departamento_es;Departamento_eu;Fecha Inicio Dpto;Fecha Fin Dpto;Tipo_Estructura;Tipo_Organo_es;Tipo Organo_eu;Id_Organo;Cod_Organo;Organo_es;Organo_eu;Fecha Inicio Org;Fecha Fin Org;Id_CentroOrg;Cod_CentroOrg;CentroOrg_es;CentroOrg_eu;Fecha Inicio Centro;Id_TipoCentro;TipoCentro_es;TipoCentro_eu;Cod_CentroSAP;Centro_dest.or;Centro_Destino;Calle/Numero;CP;Pais;Municipio;Localidad;Telefono;Fax;Correo_Electronico;Id_Posicion;Cod_Posicion;Posicion_es;Posicion_eu;GR.PER;Des.ES.grupo;Des.EU.grupo;APER;Des.ES.area;Des.EU.area;Id_TipoCargo;TipoCargo_es;TipoCargo_eu;Id_Empleado;DatosPersonales;Fecha Nombramiento;BOPV Nombramiento;
33437;17/10/2020;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001607;9,06E+11; Red de Salud Mental de Araba; Arabako Osasun Mentalaren sarea;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007860;7077/1;DIRECTOR/A DE PERSONAL GR.4;LANGILEEN ZUZENDARIA, 4. MAILAKOA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD37;Director/a de Personal Gr.4;Langileen Zuzendaria, 4. Mailakoa;12396;SALINERO BERASALUCE, ANDREA;18/07/2017;141/2017;
33724;26/03/2021;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001610;9,06E+11; OSI Bilbao-Basurto; Bilbao-Basurtu ESIa;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007773;7064/1;DIRECTOR/A MÉDICO GR.2;ZUZENDARI MEDIKOA, 2. MAILAKOA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD24;Director/a Médico Gr.2;Zuzendari Medikoa, 2. Mailakoa;12397;GIL MOLET, ALEJANDRA;21/12/2020;15/2021;
34011;17/10/2020;16/01/2024;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;30002655;52300000000; Dirección de Puertos y Asuntos Marítimos; Portu eta Itsas Gaietako Zuzendaritza;06/03/2021;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;60032966;9104/168;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;12416;ETXEBARRIA ATUTXA, AITOR;29/07/2017;143/2017;
34298;23/10/2020;16/01/2024;5154;60000000000; Economía y Hacienda; Ekonomia eta Ogasuna;08/09/2020;31/12/9999;4;OA - Organismo Autónomo;EA - Erakunde Autonomoa;6223;5,40E+11; Autoridad Vasca de la Competencia; Lehiaren Euskal Agintaritza;10/02/2012;31/12/9999;6223;5,40E+11; Autoridad Vasca de la Competencia; Lehiaren Euskal Agintaritza;10/02/2012;A16;ORGANISMO AUTÓNOMO;ERAKUNDE AUTONOMOA;1017;5433;GOBIERNO VASCO - BILBAO,  ERCILLA, 4;ERCILLA 4;48009;ES;20;;;;;434488;9118/1;VOCAL AUTORIDAD VASCA DE LA COMPETENCIA;LEHIAREN EUSKAL AGINTARITZAREN KONTSEILU;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;13388;VENTURINI ALVAREZ, ENARA;16/09/2017;177/2017;
34585;31/01/2022;16/01/2024;30002507;30000000000; Trabajo y Empleo; Lana eta Enplegua;08/09/2020;31/12/9999;4;OA - Organismo Autónomo;EA - Erakunde Autonomoa;5483;5,30E+11; Lanbide, Servicio Vasco de Empleo; Lanbide, Euskal Enplegu Zerbitzua;03/11/2011;31/12/9999;7595;5,31E+11; Dirección de Formación Profesional para el Empleo; Enplegurako Lanbide Heziketaren Zuzendaritza;07/07/2021;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;247;16048;SERV.CENTR. VITORIA-GASTEIZ SSCC (TXAGORRITXU);JOSE ATXOTEGI 1;1009;ES;59;;;;;446466;9104/156;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;13835;IBARROLA SAENZ DE UGARTE, JUAN CARLOS;01/02/2022;;
34872;17/10/2020;16/01/2024;30002503;1,10E+11; Cultura y Política Lingüística; Kultura eta Hizkuntza Politika;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;30002503;1,10E+11; Cultura y Política Lingüística; Kultura eta Hizkuntza Politika;08/09/2020;31/12/9999;6275;1,11E+11; Dirección de Patrimonio Cultural; Kultura Ondarearen Zuzendaritza;08/09/2020;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;411457;9104/35;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;13928;AIZPURU MURUA, MIKEL XABIER;02/10/2017;187/2017;
35159;17/10/2020;16/01/2024;5154;60000000000; Economía y Hacienda; Ekonomia eta Ogasuna;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;5154;60000000000; Economía y Hacienda; Ekonomia eta Ogasuna;08/09/2020;31/12/9999;6070;64300000000; Dirección de Recursos Institucionales; Erakundeen Baliabideetako Zuzendaritza;06/03/2021;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;428869;9104/38;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;13930;BELDARRAIN ROBLES, AITZIBER;02/10/2017;187/2017;
35446;23/02/2023;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001618;9,06E+11; OSI Donostialdea; Donostialdea ESIa;01/01/2015;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007752;7055/3;DIRECTOR/A GERENTE GR.1;ZUZENDARI GERENTEA, 1. MAILAKOA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD14;Director/a Gerente Gr.1;Zuzendari Gerentea, 1. Mailakoa;17561;AGIRRE ARANBURU, JOSE AGUSTIN;20/01/2023;38/2023;
35733;10/07/2023;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001621;9,06E+11; OSI Alto Deba; Debagoiena ESIa;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007815;7068/5;DIRECTOR/A GERENTE GR.3;DIRECTOR/A GERENTE GR.3;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD28;Director/a Gerente Gr.3;Zuzendari Gerentea, 3. Mailakoa;17734;BARRUSO BARES, CARLOS;09/01/2023;122/2023;
36020;03/10/2020;16/01/2024;30002503;1,10E+11; Cultura y Política Lingüística; Kultura eta Hizkuntza Politika;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001640;9,07E+11; Instituto Vasco Etxepare Euskal Institutua / Basque Institute; Instituto Vasco Etxepare Euskal Institutua / Basque Institute;01/01/1980;31/12/9999;30002725;9,07E+11;  Dirección para la Promoción y Difusión de la Cultura Vasca; Euskal Kulturaren Sustapen eta Hedakuntzarako Zuzendaritza;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60033174;7019/1;DIRECTOR/A PROMOC. DIFUS. CULTURA VASCA;DIRECTOR/A PROMOC. DIFUS. CULTURA VASCA;1;Cargo púb. directivo;Zuz. kargu publikoa;11;Directivo sec. púb.;Sek. pub. zuzendaria;AD02;Rango Director;Zuzendari maila;18192;OTAEGUI MICHELENA, IMANOL;22/05/2018;111/2018;
36307;17/10/2020;16/01/2024;5154;60000000000; Economía y Hacienda; Ekonomia eta Ogasuna;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;5154;60000000000; Economía y Hacienda; Ekonomia eta Ogasuna;08/09/2020;31/12/9999;6560;64100000000; Dirección de Administración Tributaria; Zerga Administrazioko Zuzendaritza;06/03/2021;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;440514;9104/36;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;18553;ETXENAUSIA ARAMBURUZABALA, ANE;04/07/2018;125/2018;
36594;17/10/2020;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001621;9,06E+11; OSI Alto Deba; Debagoiena ESIa;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007829;7070/5;DIRECTOR/A COORD. ASIST. AREA ENFERM 3GR;ERIZAINTZA ARLO. ASIST. KOORD. ZUZENDARI;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD30;Director/a de Coordinación Asistencial Área de Enfermería Gr.3;Erizaintza Arloko Asistentzia Koordinatzeko Zuzendaria, 3. Mailakoa;18554;GORDOA MENDIZABAL, MARIA TERESA;13/06/2018;133/2018;
36881;17/10/2020;16/01/2024;30002503;1,10E+11; Cultura y Política Lingüística; Kultura eta Hizkuntza Politika;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;30002503;1,10E+11; Cultura y Política Lingüística; Kultura eta Hizkuntza Politika;08/09/2020;31/12/9999;30002504;1,10E+11; Consejería; Kontseilaritza;08/09/2020;A03;RANGO: CONSEJERIA;MAILA: KONTSEILARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;60031205;5295/1;ASEROR/A DE APOYO AL GABINETE;KABINETEARI LAGUNTZEKO AHOLKULARIA;C;Personal eventual;Behin-behineko lang.;C1;Rango cargo público;Kargu publiko maila;PE02;Rango Director;Zuzendari maila;18640;LARRAZABAL INTXAURBE, AINHOA;01/10/2020;194/2020;
37168;17/10/2020;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001613;9,06E+11; Hospital Santa Marina; Santa Marina Ospitalea;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007861;7077/2;DIRECTOR/A DE PERSONAL GR.4;LANGILEEN ZUZENDARIA, 4. MAILAKOA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD37;Director/a de Personal Gr.4;Langileen Zuzendaria, 4. Mailakoa;18670;GOMEZ ELORRIETA, AINHOA;06/08/2018;159/2018;
37455;28/05/2021;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001610;9,06E+11; OSI Bilbao-Basurto; Bilbao-Basurtu ESIa;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007801;7065/1;DIRECTOR/A DE ENFERMERÍA GR.2;ERIZAINTZAKO ZUZENDARIA, 2. MAILAKOA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD25;Director/a de Enfermería Gr.2;Erizaintzako Zuzendaria, 2. Mailakoa;18684;MALMIERCA GARCIA, MARIA ISABEL;04/05/2021;104/2021;
37742;01/09/2022;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001616;9,06E+11; OSI Uribe; Uribe ESIa;01/01/2015;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60008179;7071/6;DIRECTOR/A ECONÓMICO-FINANCIERO GR.3;EKONOMIA-FINANTZA ZUZENDARIA, 3. MAILAKO;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD31;Director/a Económico-Financiero Gr.3;Ekonomia-Finantza Zuzendaria, 3. Mailakoa;18714;LETAMENDI MEMBIBRE, IKER;01/09/2022;168/2022;
38029;17/10/2020;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001614;9,06E+11; Hospital de Gorliz; Gorlizeko Ospitalea;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007855;7075/3;DIRECTOR/A DE ENFERMERÍA GR.4;ERIZAINTZAKO ZUZENDARIA, 4. MAILAKOA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD35;Director/a de Enfermería Gr.4;Erizaintzako Zuzendaria, 4. Mailakoa;18943;BLANCO ZAPATA, ROSA MARIA;12/09/2018;181/2018;
38316;09/02/2021;16/01/2024;6782;1,00E+11; Igualdad, Justicia y Políticas Sociales; Berdintasuna, Justizia eta Gizarte Politikak;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6782;1,00E+11; Igualdad, Justicia y Políticas Sociales; Berdintasuna, Justizia eta Gizarte Politikak;08/09/2020;31/12/9999;5542;1,02E+11; Dirección de Familias e Infancia; Familia eta Haurren Zuzendaritza;30/01/2021;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;422656;9104/143;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;19792;MUGURUZA MENDARTE, MIREN IRUNE;30/01/2021;21/2021;
38603;17/10/2020;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;6595;91200000000; Dirección de Planificación, Ordenación y Evaluación Sanitarias; Plangintza, Antolamendu eta Ebaluazio Sanitarioko Zuzendaritza;08/09/2020;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;60001672;9104/161;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;24980;SANCHEZ FERNANDEZ, MIGUEL;10/04/2019;73/2019;
38890;17/10/2020;16/01/2024;6782;1,00E+11; Igualdad, Justicia y Políticas Sociales; Berdintasuna, Justizia eta Gizarte Politikak;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6782;1,00E+11; Igualdad, Justicia y Políticas Sociales; Berdintasuna, Justizia eta Gizarte Politikak;08/09/2020;31/12/9999;5541;1,02E+11; Dirección de Servicios Sociales; Gizarte Zerbitzuen Zuzendaritza;30/01/2021;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;440964;9104/124;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;26075;OLABARRIETA IBARRONDO, MARIA ANTONIA;20/07/2019;137/2019;
39177;09/02/2021;16/01/2024;6782;1,00E+11; Igualdad, Justicia y Políticas Sociales; Berdintasuna, Justizia eta Gizarte Politikak;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6782;1,00E+11; Igualdad, Justicia y Políticas Sociales; Berdintasuna, Justizia eta Gizarte Politikak;08/09/2020;31/12/9999;30004009;1,00E+11; Dirección de Comunicación; Komunikazio Zuzendaritza;30/01/2021;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;60073774;9104/179;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;26076;CAMINO GARCIA, IÑIGO;30/01/2021;21/2021;
39464;23/02/2022;16/01/2024;30002510;1,20E+11; Turismo, Comercio y Consumo; Turismoa, Merkataritza eta Kontsumoa;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;30002510;1,20E+11; Turismo, Comercio y Consumo; Turismoa, Merkataritza eta Kontsumoa;08/09/2020;31/12/9999;30002511;1,20E+11; Consejería; Kontseilaritza;08/09/2020;A03;RANGO: CONSEJERIA;MAILA: KONTSEILARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;60031586;5166/3;ASESOR/A DE ESTUDIOS Y PROGRAMAS;AZTERLAN ETA PROGRAMETAKO AHOLKULARIA;C;Personal eventual;Behin-behineko lang.;C1;Rango cargo público;Kargu publiko maila;PE02;Rango Director;Zuzendari maila;26082;SANTAMARIA NAVARIDAS, OLGA;18/02/2022;39/2022;
39751;21/02/2023;16/01/2024;6782;1,00E+11; Igualdad, Justicia y Políticas Sociales; Berdintasuna, Justizia eta Gizarte Politikak;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6782;1,00E+11; Igualdad, Justicia y Políticas Sociales; Berdintasuna, Justizia eta Gizarte Politikak;08/09/2020;31/12/9999;5141;1,00E+11; Consejería; Kontseilaritza;08/09/2020;A03;RANGO: CONSEJERIA;MAILA: KONTSEILARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;435019;5191/1;ASESOR/A DE POLÍTICAS SOCIALES;GIZARTE POLITIKETAKO AHOLKULARIA;C;Personal eventual;Behin-behineko lang.;C1;Rango cargo público;Kargu publiko maila;PE02;Rango Director;Zuzendari maila;26088;LOPEZ-AROSTEGUI MERINO, RAFAEL;14/02/2023;36/2023;
40038;13/01/2022;16/01/2024;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;90;CSP - Consorcio Sector Público;SPP - Sektore Publikoko Partzuergoa;30003364;9,21E+11; Consorcio Científico Tecnológico Vasco – Basque Research and Technology Aliance (BRTA); Euskal Partzuergo Zientifiko-Teknologikoa – Basque Research and Technology Aliance (BRTA);24/01/2019;31/12/9999;30003364;9,21E+11; Consorcio Científico Tecnológico Vasco – Basque Research and Technology Aliance (BRTA); Euskal Partzuergo Zientifiko-Teknologikoa – Basque Research and Technology Aliance (BRTA);24/01/2019;C50;CSP – CONSORCIO SECTOR PÚBLICO;SPP - SEKTORE PUBLIKOKO PARTZUERGOA;;;;;;;;;;;;60054747;7044/1;DIRECTOR/A GENERAL;ZUZENDARI OROKORRA;1;Cargo púb. directivo;Zuz. kargu publikoa;11;Directivo sec. púb.;Sek. pub. zuzendaria;AD03;Resto Rangos de Cargos;Gainerako karguen mailak;26089;BUENO ZABALO, RICARDO;17/06/2019;jul-22;
40325;17/10/2020;16/01/2024;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;5095;53100000000; Dirección de Desarrollo Rural y Litoral y Políticas Europeas; Landaren eta Itsasertzaren Garapeneko eta Europar Politiketako Zuzendaritza;08/09/2020;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;440021;9104/115;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;26100;FERNANDEZ LANDA, JONE MIREN;03/08/2019;146/2019;
40612;20/09/2021;16/01/2024;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;3;AG - Departamento Administración General;AO - Administrazio Orokorra Saila;6243;50000000000; Desarrollo Económico, Sostenibilidad y Medio Ambiente; Ekonomiaren Garapena, Jasangarritasuna eta Ingurumena;08/09/2020;31/12/9999;6718;52000000000; Viceconsejería de Industria; Industria Sailburuordetza;08/09/2020;A10;RANGO: VICECONSEJERÍA;MAILA: SAILBURUORDETZA;117;1800;GOBIERNO VASCO - SEDE VITORIA-GASTEIZ;DONOSTIA-SAN SEBASTIAN, 1;1010;ES;59;;945-018000;;;445802;9103/24;VICECONSEJERO/A;SAILBURUORDEA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC04;Viceconsejero/a;Sailburuordea;27436;AMUNDARAIN LEIBAR, MIKEL;01/09/2021;188/2021;
40899;05/11/2020;16/01/2024;30002507;30000000000; Trabajo y Empleo; Lana eta Enplegua;08/09/2020;31/12/9999;4;OA - Organismo Autónomo;EA - Erakunde Autonomoa;5483;5,30E+11; Lanbide, Servicio Vasco de Empleo; Lanbide, Euskal Enplegu Zerbitzua;03/11/2011;31/12/9999;7596;5,31E+11; Dirección de Servicios Generales; Zerbitzu Orokorretako Zuzendaritza;05/06/2012;A05;RANGO: DIRECCIÓN;MAILA: ZUZENDARITZA;247;16048;SERV.CENTR. VITORIA-GASTEIZ SSCC (TXAGORRITXU);JOSE ATXOTEGI 1;1009;ES;59;;;;;411438;9104/155;DIRECTOR/A;ZUZENDARIA;B;Alto cargo;Goi-kargua;B1;Alto Cargo;Goi-karguduna;AC05;Director;Zuzendaria;28272;CARRILLO NAVAS, JOSE ANTONIO;17/10/2020;204/2020;
41186;17/10/2020;16/01/2024;6048;70000000000; Educación; Hezkuntza;28/11/2016;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001636;9,07E+11; Unibasq-Agencia de Calidad del Sistema Universitario Vasco; Unibasq-Euskal Unibertsitate Sistemaren Kalitate Agentzia;01/01/1980;31/12/9999;30001636;9,07E+11; Unibasq-Agencia de Calidad del Sistema Universitario Vasco; Unibasq-Euskal Unibertsitate Sistemaren Kalitate Agentzia;01/01/1980;C20;EPDP – ENTE PÚBLICO DERECHO PRIVADO;ZPEP - ZUZENBIDE PRIBATUKO ENTE PUBLIKOA;;;;;;;;;;;;60007945;7010/1;DIRECTOR/A;DIRECTOR/A;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD01;Rango Viceconsejero/a;Sailburuorde maila;29500;HERAS SAIZARBITORIA, IÑAKI;01/11/2019;208/2019;
41473;17/11/2020;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001602;9,06E+11; Dirección General; Zuzendaritza Nagusia;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60008003;7051/1;DIRECTOR/A GENERAL;ZUZENDARI NAGUSIA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD10;Director/a General;Zuzendari Nagusia;30466;PEREZ ESQUERDO, ROSA MARIA;26/10/2020;216/2020;
41760;17/10/2020;16/01/2024;5213;90000000000; Salud; Osasuna;08/09/2020;31/12/9999;90;EPDP - Ente Público Derecho Privado;ZPEP - Zuzenbide Pribatuko Ente Publikoa;30001601;9,06E+11; Osakidetza-Servicio vasco de salud; Osakidetza-Servicio vasco de salud;01/01/1980;31/12/9999;30001613;9,06E+11; Hospital Santa Marina; Santa Marina Ospitalea;01/12/2012;C99;CENTROS;ZENTRUAK;;;;;;;;;;;;60007851;7074/2;DIRECTOR/A MÉDICO GR.4;ZUZENDARI MEDIKOA, 4. MAILAKOA;1;Cargo púb. directivo;Zuz. kargu publikoa;12;Alto cargo sec. púb.;Sek. pub. goi kargua;AD34;Director/a Médico Gr.4;Zuzendari Medikoa, 4. Mailakoa;32129;HERRERIA LAHERRAN, RAMON;22/06/2020;125/2020;
